Result for pair (1.0232053874682139, 21.0): -1.1561794354317458
Result for pair (1.0525576609534186, 21.0): 0.7542859925407176
Result for pair (1.1461219946459849, 21.0): -4.344035486834242
Result for pair (1.2354089484630049, 21.0): 2.8599416101056834
Result for pair (1.4515003906606556, 21.0): -11.834776797043418
Result for pair (1.6757204973661863, 21.0): 7.63461561788905
Result for pair (2.2661694898738993, 21.0): -40.169626065446536
Result for pair (3.0276045559643503, 21.0): 24.042078950669616
Result for pair (1.0569140589654862, 23.0): -2.183048168444261
Result for pair (1.1014531089331174, 23.0): 1.4413433615809563
Result for pair (1.2134867542653949, 23.0): -6.048800053269849
Result for pair (1.3204851195213196, 23.0): 4.013330896573998
Result for pair (1.5633435744112798, 23.0): -15.03162072985216
Result for pair (1.8164850844038622, 23.0): 9.724164517554652
Result for pair (2.467450268118231, 23.0): -49.093164535766384
Result for pair (3.3089434083207356, 23.0): 29.383116111622414
Result for pair (1.0162454572266282, 25.0): -0.9501449766959598
Result for pair (1.0365283473642974, 25.0): 0.6228727484311143
Result for pair (1.0991919704618396, 25.0): -3.3491955653502727
Result for pair (1.1567780317797196, 25.0): 2.237744978625149
Result for pair (1.285484796844803, 25.0): -7.9232758143220305
Result for pair (1.4089110447432067, 25.0): 5.290231376281422
Result for pair (1.677662022660325, 25.0): -18.525624022891527
Result for pair (1.9589030824552427, 25.0): 12.011428753497539
Result for pair (2.6699336884997873, 25.0): -58.83168383659995
Result for pair (3.590830271227343, 25.0): 35.21250008745913
Result for pair (1.0406794244546196, 27.0): -1.7931603264663296
Result for pair (1.0718423345938575, 27.0): 1.1921498283960785
Result for pair (1.147255828266029, 27.0): -4.637322195510029
Result for pair (1.2165007990902965, 27.0): 3.129737741837558
Result for pair (1.3607692914503116, 27.0): -9.963265061372121
Result for pair (1.4997554605596657, 27.0): 6.686160593093669
Result for pair (1.7938114397447031, 27.0): -22.31528516964468
Result for pair (2.1025635863639214, 27.0): 14.494755971860554
Result for pair (2.8733345581556824, 27.0): -69.38440535182372
Result for pair (3.873140866696775, 27.0): 41.52966064547157
Result for pair (1.0120150688054923, 29.0): -0.8082532534659336
Result for pair (1.0268984538632946, 29.0): 0.5314261760306122
Result for pair (1.0720338807357206, 29.0): -2.7456818104011607
Result for pair (1.1126206927733857, 29.0): 1.8506045193279173
Result for pair (1.1994126147133213, 29.0): -6.0393672798148055
Result for pair (1.279378317013398, 29.0): 4.109738809885333
Result for pair (1.4384759059443963, 29.0): -12.166399335629587
Result for pair (1.5924089153130367, 29.0): 8.198347547572439
Result for pair (1.9113564573823516, 29.0): -26.39965442727177
Result for pair (2.247183251452517, 29.0): 17.173063297095027
Result for pair (3.077452058529591, 29.0): -80.7508135166129
Result for pair (1.0305656382578752, 31.0): -1.5266336254963395
Result for pair (1.0536717974829364, 31.0): 1.0193887251458384
Result for pair (1.108287128950502, 31.0): -3.7912409796049933
Result for pair (1.157295035628585, 31.0): 2.5852729473799845
Result for pair (1.2545766251819868, 31.0): -7.551082671811573
Result for pair (1.3446036991557562, 31.0): 5.173217040094084
Result for pair (1.5180233356783224, 31.0): -14.531246108971823
Result for pair (1.686454386995123, 31.0): 9.82499403423763
Result for pair (2.0299915555241834, 31.0): -30.77810622473286
Result for pair (2.392559890508413, 31.0): 20.045616570622872
Result for pair (3.2821404769637805, 31.0): -92.93055447825913
Result for pair (1.0206485928351938, 33.0): 0.4638631587877302
Result for pair (1.05480561290656, 33.0): -2.3365110585061446
Result for pair (1.0851009285754267, 33.0): 1.5836913399956758
Result for pair (1.1481342533532086, 33.0): -4.921839218842009
Result for pair (1.2048550785995935, 33.0): 3.388776887683946
Result for pair (1.3120194619351084, 33.0): -9.170026507316136
Result for pair (1.4116285232285244, 33.0): 6.317300603973997
Result for pair (1.5990053883687154, 33.0): -17.056889244487724
Result for pair (1.7815960703048863, 33.0): 11.564886435228265
Result for pair (2.149495561311433, 33.0): -35.450211827550746
Result for pair (2.538545080677525, 33.0): 23.11190256217599
Result for pair (3.487291399895608, 33.0): -105.9233822078967
Result for pair (1.023825164613602, 35.0): -1.3317496359908731
Result for pair (1.041677059647557, 35.0): 0.8918621606111283
Result for pair (1.083225360133865, 35.0): -3.222251071216965
Result for pair (1.1199624163061526, 35.0): 2.2121753269212494
Result for pair (1.190699032675158, 35.0): -6.1331293801396445
Result for pair (1.2546181479875034, 35.0): 4.256593174854385
Result for pair (1.3712336817374817, 35.0): -10.894702022250035
Result for pair (1.4800659647193162, 35.0): 7.5400845789323405
Result for pair (1.6811291109143318, 35.0): -19.742719115850335
Result for pair (1.877617833148968, 35.0): 13.417179496583904
Result for pair (2.2697041482180804, 35.0): -40.41567029687626
Result for pair (2.685027254350908, 35.0): 26.371554338028144
Result for pair (3.692822415377643, 35.0): -119.72911351896305
Result for pair (1.0163575506586215, 37.0): 0.41179152666457014
Result for pair (1.043153068579592, 37.0): -2.038825896414929
Result for pair (1.066699411626812, 37.0): 1.3872260951603441
Result for pair (1.1148034389223063, 37.0): -4.175974086451505
Result for pair (1.1574346396407564, 37.0): 2.897726267731209
Result for pair (1.2353716800520727, 37.0): -7.422554788053639
Result for pair (1.3061050531766316, 37.0): 5.185793414693887
Result for pair (1.4318544292223228, 37.0): -12.724143591529364
Result for pair (1.5496347219449982, 37.0): 8.84025826053766
Result for pair (1.764177525623425, 37.0): -22.588313018601344
Result for pair (1.9743577808994908, 37.0): 15.381268235348793
Result for pair (2.390492500213532, 37.0): -45.67426355311054
Result for pair (2.8319208212729334, 37.0): 29.82430271311399
Result for pair (3.898669723189987, 37.0): -134.34761805083917
Result for pair (1.0191020850811872, 39.0): -1.1824667536951539
Result for pair (1.0333264755140672, 39.0): 0.7935203332378321
Result for pair (1.0660785996937772, 39.0): -2.8105590263308704
Result for pair (1.0947481377549597, 39.0): 1.9385835655353374
Result for pair (1.1488276941598476, 39.0): -5.193269271160266
Result for pair (1.196943468137069, 39.0): 3.6358824138109993
Result for pair (1.2817145462270014, 39.0): -8.78852081984859
Result for pair (1.3589687766446485, 39.0): 6.174399694739611
Result for pair (1.4936122689137352, 39.0): -14.657702044282818
Result for pair (1.6201249309440515, 39.0): 10.216892756024047
Result for pair (1.8479862588733527, 39.0): -25.593371995119565
Result for pair (2.0716920565842862, 39.0): 17.45670967685539
Result for pair (2.5117640021517946, 39.0): -51.22583227233953
Result for pair (2.979158969894424, 39.0): 33.46994743908425
